Volcano Name,Country,Type,Latitude,Longitude,Elevation
Abu,Japan,Shield,34.50,131.60,641
Acamarachi,Chile,Stratovolcano,-23.30,-67.62,6046
Acatenango,Guatemala,Stratovolcano,14.50,-90.88,3976
Acig�l-Nevsehir,Turkey,Caldera,38.57,34.52,1689
Adams,United States,Stratovolcano,46.21,-121.49,3742
Adams Seamount,Pacific Ocean,Submarine,-25.37,-129.27,-39
Adatara,Japan,Stratovolcano,37.64,140.29,1718
Adwa,Ethiopia,Stratovolcano,44.752,40.84,1733
Afder?,Ethiopia,Stratovolcano,44.786,40.85,1295
Agrigan,Mariana Islands,Stratovolcano,18.77,145.67,965
Agua,Guatemala,Stratovolcano,14.47,-90.74,3760
Agua de Pau,Portugal,Stratovolcano,37.77,-25.47,947
Aguilera,Chile,Stratovolcano,-50.33,-73.75,2546
Agung,Indonesia,Stratovolcano,-8.34,115.51,3142
Ahyi,Mariana Islands,Submarine,20.42,145.03,-137
Akademia Nauk,Russia,Caldera,53.98,159.45,1180
Akagi,Japan,Stratovolcano,36.56,139.20,1828
Akan,Japan,Caldera,43.38,144.01,1499
Akhtang,Russia,Shield,55.43,158.65,1956
Akita Komagatake,Japan,Stratovolcano,39.76,140.80,1637
Akita Yakeyama,Japan,Stratovolcano,39.96,140.76,1366
Akuseki-jima,Japan,Stratovolcano,29.46,129.60,584
Akutan,United States,Stratovolcano,54.13,-165.99,1303
Alaid,Russia,Stratovolcano,50.86,155.55,2339
Alamagan,Mariana Islands,Stratovolcano,17.60,145.83,744
Alayta,Ethiopia,Shield,32.478,40.57,1501
Alban Hills,Italy,Caldera,41.73,25.903,949
Alcedo,Gal�pagos Islands,Shield,-0.43,-91.12,1130
Ale Bagu,Ethiopia,Stratovolcano,13.52,40.63,1031
Alid,Eritrea,Stratovolcano,14.88,39.92,904
Ambrym,Vanuatu,"Caldera, Shield",-16.25,168.12,1334
Ambrym,Vanuatu,"Caldera, Shield",-16.25,168.12,1334
Anatahan,Mariana Islands,Stratovolcano,16.35,145.67,790
Aneityum,Vanuatu,Stratovolcano,-20.20,169.78,852
Aniakchak,United States,Caldera,56.88,-158.17,1341
Antisana,Ecuador,Stratovolcano,-0.48,-78.14,5753
Aoba,Vanuatu,Shield,-15.40,167.83,1496
Ararat,Turkey,Stratovolcano,39.70,44.30,5165
Arenal,Costa Rica,Stratovolcano,17.076,-84.70,1670
Arintica,Chile,Complex,-18.73,-69.05,5597
Asacha,Russia,Stratovolcano,52.36,157.83,1910
Asama,Japan,Complex,36.40,138.53,2568
Ascensi�n,South Atlantic Ocean,Stratovolcano,-7.95,-14.37,858
Askja,Iceland,Stratovolcano,65.03,-16.75,1516
Aso,Japan,Caldera,32.88,131.11,1592
Atitl�n,Guatemala,Complex,14.58,-91.19,3535
Atka,United States,Caldera,52.38,-174.15,1533
Atsonupuri,Russia,Stratovolcano,44.81,147.14,1206
Augustine,United States,Lava dome,59.36,-153.43,1252
Avachinsky,Russia,Stratovolcano,53.26,158.83,2741
Awu,Indonesia,Stratovolcano,24.532,125.50,1320
Axial Seamount,Pacific Ocean,Submarine,45.95,-130.00,-1410
Ayelu,Ethiopia,Stratovolcano,44.783,40.70,2145
Azufre,Chile,Complex,-21.79,-68.24,5846
Azuma,Japan,Stratovolcano,37.73,140.25,2035
Babuyon Claro,Philippines,Stratovolcano,19.50,121.90,1180
Bachelor,United States,Stratovolcano,43.80,121.60,2763
Bagana,Papua New Guinea,Cinder Cone,-6.10,155.20,1750
Baker,United States,Stratovolcano,48.79,-121.82,3285
Bam,Papua New Guinea,Stratovolcano,-3.60,144.85,685
Bamus,Papua New Guinea,Stratovolcano,-5.20,151.20,2248
Bandai,Japan,Stratovolcano,37.60,140.10,1819
Barren Island,India,Pyroclastic cone,47.453,93.88,305
Barrier,Kenya,Complex,-43.0676,36.57,1032
Bazman,Iran,Stratovolcano,28.00,60.00,3490
Beerenberg,Norway,Stratovolcano,71.10,-8.20,2277
Belknap,United States,Shield,44.28,-121.83,2096
Bezymianny,Russia,Stratovolcano,55.98,160.58,2882
Biliran,Philippines,Complex,18.568,124.50,1187
Bolshoi Semiachik,Russia,Stratovolcano,54.32,160.02,1720
Bulusan,Philippines,Stratovolcano,29.556,124.10,1565
Butajira,Ethiopia,"Fissure vent, Maar",44.689,38.35,2281
Butajira,Ethiopia,"Fissure vent, Maar",44.689,38.35,2281
Cameroon (Mount),Cameroon,Stratovolcano,43.922,42.979,4095
Camiguin de Babuyanes,Philippines,Stratovolcano,18.83,121.85,712
Canlaon,Philippines,Stratovolcano,15.250,123.13,2435
Capulin,United States,Cinder Cone,36.45,-104.09,2494
Carrizozo,United States,Volcanic field,33.70,-106.00,1730
Cayambe,Ecuador,Stratovolcano,0.03,-77.99,5790
Cereme,Indonesia,Stratovolcano,-6.90,108.41,3078
Chaine des Puys,France,Lava dome,45.78,35.462,1464
Chiginagak,United States,Stratovolcano,57.13,-156.99,2067
Chikurachki,Russia,Stratovolcano,50.33,155.46,5958
Chimborazo,Ecuador,Stratovolcano,-1.46,-78.82,6310
Cleveland,United States,Stratovolcano,52.83,-169.95,1730
Coatepeque,El Salvador,Caldera,13.86,-89.54,746
Colima,Mexico,Stratovolcano,19.51,103.62,4100
Concepci�n,Nicaragua,Stratovolcano,18.568,85.60,1610
Copahue,Argentina,Stratovolcano,-37.85,-71.17,2965
Cosig�ina,Nicaragua,Shield,36.130,-87.56,847
Cotopaxi,Ecuador,Stratovolcano,-0.68,-78.44,5911
Crater Lake,United States,Caldera,42.94,-122.11,2471
Craters of the Moon,United States,Volcanic field,43.42,-113.50,2005
Daisetsu,Japan,Stratovolcano,43.70,142.90,2290
Dakataua,Papua New Guinea,Caldera,-5.00,150.10,400
Damavand,Iran,Stratovolcano,35.95,52.11,5670
Dempo,Indonesia,Stratovolcano,-4.00,103.10,3173
Devils Garden,United States,Volcanic field,43.50,-120.90,1525